query,intent
what luggage can I keep with me,general
Paducah flights are so cheap right now.,general
What bags can I bring on the plane?,general
where in the world is Carmen San Diego?,general
When can I check in for my Ashland flight to Lawton?,general
Do many people use your service?,general
howdy,general
This training data is a pain.,general
Are Endeavor's planes quiet?,general
Too many people fly nowadays,general
Whats the carryon price?,general
get baggage policy,general
Take your time when opening the overhead bins.,general
I wish I could go to Hawaii again,general
Does QX have free wifi?,general
How many places in Europe does Frontier fly to?,general
Can I watch videos on my phone on FL flights?,general
how long is the trip to Akron?,general
Can you reserve a car in Lihue for the week of 10/1?,general
I'd like to book a flight to a place in the mountains,general
Could you call G4's customer service?,general
What is Hawaiian's domestic bag policy,general
"I'm tired of Mobile, where's a fun place to go?",general
Have you ever had the chips and guacamole at DFW terminal E?,general
Where can I go that has wind surfing?,general
Will US provide snacks and a drink,general
will QX pay for my hotel,general
is there food on my flight?,general
Assist with baggage policy,general
Which airline has the best service?,general
how many flights a day does GRI have to AUS?,general
what's up?,general
who knows roger rabbit?,general
What is considered a personal item,general
Do you know what Frontier does if my flight is cancelled?,general
Do you like tacos?,general
I have a question about cancellations,general
What is your favorite fruit?,general
what is the leg room like on DL?,general
I like the Marriott at Erie,general
What is the most expensive flight you've booked?,general
please find the baggage policy,general
What beverages does VX have,general
What is SkyWest's hub?,general
What bags can I take on board,general
WN always has delays. Can you find a different flight?,general
what's the busiest airport in America?,general
Can I take a personal item on board?,general
domestic baggage size,general
Why are flights to Provo so expensive right now?,general
What is the best airline for legroom?,general
How full is my flight?,general
what is the best way to fly?,general
What's the price of jet fuel this year?,general
Which airline serves the best meals?,general
what is the best way to travel?,general
allowed bag weights in pounds,general
How many reservations have you made already?,general
I'm interested in going some place warm in January.,general
What is tomorrow's weather for my flight?,general
Do you speak other languages?,general
Will you book a hotel in Charleston on 22 Sep?,general
I love flying from SNA to SFO for the day.,general
Help with baggage policy,general
What is the biggest airline in the U.S.?,general
are B6 flights back in service?,general
retrieve baggage rules,general
can I use a self-service kiosk for my UA flight?,general
How many personal items can I bring with me,general
When is the best time to travel?,general
Hello,general
Can you find my PNR with my name and flight number?,general
I'm tired of airport food. Does Las Vegas have any restaurants nearby?,general
I can't fly over 5 hours without resting. Can you find flights shorter than that?,general
