query,intent
"Book an early flight from airptNm1 to airptNm2 tomorrow",booking
"Book an early flight airptNm1 to airptNm2 tomorrow evening",booking
"Book an early flight airptNm1 - airptNm2 next WEEKDAY",booking
"Book an early flight airptNm1 +- airptNm2 next DDD",booking
"Book an early flight from airptCd1 to airptNm2 tomorrow night",booking
"Book a late flight airptNm1 airptNm2 the DDth of next month",booking
"flight airptNm1 to airptCd2 book next month on the DDth",booking
"a late flight booking airptCd1 - airptNm2 MONTH DD please",booking
"airptNm1 +- airptCd2 book the DDth of MMM flight",booking
"airptNm1 airptCd2 book MMM DD YYYY",booking
"Book anything from airptCd1 to airptCd2 NUM days from now",booking
"Book anything airptCd1 to airptCd2 for MM +/ DD",booking
"Book anything airptCd1 - airptCd2 on MM +/ DD +/ YY",booking
"Book anything airptCd1 +- airptCd2 on MM +- DD",booking
"Book anything airptCd1 airptCd2 for MM +- DD +- YY",booking
"Book a flight from airptNm1 to airptNm2 tomorrow",booking
"Book a flight airptNm1 to airptNm2 tomorrow evening",booking
"Book a flight airptNm1 - airptNm2 next WEEKDAY",booking
"Get a flight airptNm1 +- airptNm2 next DDD",booking
"Could you get me a flight from airptCd1 to airptNm2 tomorrow night",booking
"Book a seat airptNm1 airptNm2 the DDth of next month",booking
"Book a seat airptNm1 to airptCd2 next month on the DDth",booking
"Get two seats airptCd1 - airptNm2 MONTH DD",booking
"Could you get a seat airptNm1 +- airptCd2 the DDth of MMM",booking
"Book a seat airptNm1 airptCd2 MMM DD YYYY",booking
"Book seats from airptNm1 to airptNm2 for early tomorrow",booking
"Book seats airptNm1 to airptNm2 tomorrow afternoon",booking
"Can you book seats airptNm1 - airptNm2 next WEEKDAY",booking
"Will you book seats airptNm1 +- airptNm2 next DDD",booking
"Try booking seats from airptCd1 to airptNm2 tomorrow night",booking
"Please book the DDth of next month airptNm1 airptNm2",booking
"Could you book next month on the DDth airptNm1 to airptCd2",booking
"Would you book MONTH DD airptCd1 - airptNm2",booking
"Book the DDth of MMM airptNm1 +- airptCd2",booking
"Book MMM DD YYYY airptNm1 airptCd2",booking
"Book NUM days from now from airptCd1 to airptCd2",booking
"Book on MM +/ DD airptCd1 to airptCd2",booking
"Book airptCd1 to airptCd2 on MM +/ DD",booking
"reserve airptCd1 - airptCd2 for MM +/ DD +/ YY",booking
"reserve airptCd1 +- airptCd2 MM +- DD",booking
"reserve airptCd1 +- airptCd2 MM +- DD am",booking
"reserve airptCd1 +- airptCd2 MM +- DD a.m.",booking
"Search airptCd1 +- airptCd2 MM +- DD early",booking
"Search for airptCd1 +- airptCd2 MM +- DD morning",booking
"reserve airptCd1 airptCd2 MM +- DD +- YY",booking
"reserve a airptNm1 to airptNm2 flight tomorrow",booking
"reserve a airptNm1 - airptNm2 flight next WEEKDAY",booking
"Please reserve a airptNm1 +- airptNm2 flight next DDD",booking
"Try reserving a airptNm1 airptNm2 flight the DDth of next month",booking
"reserve a airptNm1 to airptCd2 flight next month on the DDth",booking
"reserve a airptCd1 - airptNm2 flight on MONTH DD",booking
"reserve a airptNm1 +- airptCd2 flight the DDth of MMM",booking
"reserve a airptNm1 airptCd2 flight MMM DD YYYY",booking
"Can you reserve a airptCd1 to airptCd2 flight MM +/ DD after 6:00?",booking
"Could you reserve a airptCd1 - airptCd2 flight MM +/ DD +/ YY",booking
"Will you reserve a airptCd1 +- airptCd2 flight for MM +- DD",booking
"Would you reserve a airptCd1 +- airptCd2 flight MM +- DD pm?",booking
"reserve a airptCd1 +- airptCd2 flight MM +- DD pm",booking
"reserve a airptCd1 +- airptCd2 flight MM +- DD p.m.",booking
"reserve a airptCd1 +- airptCd2 flight for MM +- DD late",booking
"reserve a airptCd1 +- airptCd2 flight MM +- DD at night",booking
"A reservation airptCd1 airptCd2 MM +- DD +- YY please",booking
"reserve the DDth of next month airptNm1 airptNm2",booking
"reserve next month on the DDth airptNm1 to airptCd2",booking
"reserve MONTH DD airptCd1 - airptNm2",booking
"What are my chances of flying the DDth of MMM airptNm1 +- airptCd2",booking
"How does MMM DD YYYY airptNm1 airptCd2 look?",booking
"reserve NUM days from now from airptCd1 to airptCd2",booking
"reserve on MM +/ DD airptCd1 to airptCd2",booking
"reserve airptCd1 to airptCd2 on MM +/ DD",booking
"Make a reservation airptCd1 to airptCd2 on MM +/ DD",booking
"Make a reservation airptCd1 airptCd2 MM +- DD",booking
"schedule an early flight from airptNm1 to airptNm2 tomorrow",booking
"schedule an early flight airptNm1 to airptNm2 tomorrow evening",booking
"schedule an early flight airptNm1 - airptNm2 next WEEKDAY",booking
"Could you schedule an early flight airptNm1 +- airptNm2 next DDD",booking
"schedule an early flight from airptCd1 to airptNm2 tomorrow night",booking
"schedule a late flight airptNm1 airptNm2 the DDth of next month",booking
"flight airptNm1 to airptCd2 schedule next month on the DDth",booking
"a late flight scheduling airptCd1 - airptNm2 MONTH DD please",booking
"airptNm1 +- airptCd2 schedule the DDth of MMM flight",booking
"airptNm1 airptCd2 schedule MMM DD YY",booking
