query,intent
"Is flight CC + 9999_ on time?",status
"Is flight CC 9999_ on time?",status
"is flight cc + 9999_ on time?",status
"is flight cc 9999_ on MM +/ DD on time?",status
"is flight CC + 9999_ on MM +- DD on time",status
"Is tomorrow's flight cc 9999_ on time",status
"is flight cc + 9999_ on time",status
"is flight cc 9999_ on time",status
"is flight Capcxr1 9999_ on time",status
"is flight lowcxr1 lowcxr2 9999_ on MM +/ DD +/ YY on time",status
"is flight Capcxr1 lowcxr2 CC + 9999_ on time",status
"is MM +- DD flight Capcxr1 + Capcxr2 9999_ on time",status
"Is tonight's flight Capcxr1 + Capcxr2 + 9999_ on time",status
"Is CC + 9999_ late?",status
"Is CC 9999_ late?",status
"Is cc + 9999_ late?",status
"Is WEEKDAY +'s cc 9999_ late?",status
"is cc + 9999_ on MM +/ DD late?",status
"is MM +- DD cc 9999_ late?",status
"is cc + 9999_ late",status
"is cc 9999_ late",status
"is lowcxr1 9999_ late",status
"is lowcxr1 + 9999_ late",status
"is lowcxr1 cc 9999_ MM +/ DD late",status
"is lowcxr1 lowcxr2 9999_ late",status
"is Capcxr1 + Capcxr2 9999_ late",status
"is lowcxr1 + lowcxr2 + 9999_ late",status
"When does tomorrow morning's Capcxr1 9999_ arrive?",status
"When does MM +/ DD lowcxr1 9999_ arrive?",status
"when does Capcxr1 + 9999_ arrive?",status
"When does lowcxr1 + 9999_ arrive?",status
"when does lowcxr1 9999_ arrive",status
"when does lowcxr1 + 9999_ arrive",status
"when does lowcxr1 Capcxr2 9999_ arrive",status
"when does lowcxr1 lowcxr2 + 9999_ arrive on MM +- DD ?",status
"when does lowcxr1 + Capcxr2 + 9999_ arrive",status
"when does Capcxr1 Capcxr2 9999_ arrive",status
"when does cc + 9999_ arrive",status
"when does cc 9999_ arrive",status
"when does CC + 9999_ arrive",status
"when does today's CC 9999_ arrive",status
"Did Capcxr1 9999_ arrive?",status
"did lowcxr1 9999_ arrive?",status
"Did the MM +/ DD lowcxr1 9999_ arrive",status
"did lowcxr1 9999_ arrive today, MM +- DD ?",status
"Did lowcxr1 lowcxr2 9999_ arrive",status
"Did Capcxr1 lowcxr2 9999_ arrive",status
"Did cc 9999_ arrive",status
"Did cc + 9999_ arrive",status
"Did CC + 9999_ arrive",status
"Did CC 9999_ arrive",status
"Did Capcxr1 9999_ get in?",status
"did lowcxr1 9999_ get in?",status
"Did lowcxr1 9999_ get in",status
"did lowcxr1 9999_ get in",status
"did CC 9999_ get in",status
"did cc 9999_ get in",status
"did CC + 9999_ get in",status
"did cc + 9999_ get in",status
"did Capcxr1 + lowcxr1 9999_ get in",status
"did Capcxr1 lowcxr2 9999_ get in",status
"did lowcxr1 lowcxr2 + 9999_ get in",status
"Did Capcxr1 9999_ come in?",status
"did lowcxr1 9999_ come in?",status
"Did lowcxr1 9999_ come in",status
"did lowcxr1 9999_ come in",status
"Did CC 9999_ come in?",status
"did cc 9999_ come in?",status
"Did cc + 9999_ come in",status
"did lowcxr1 lowcxr2 9999_ come in",status
"Was today's Capcxr1 9999_ late?",status
"Was Capcxr1 + 9999_ late?",status
"was Capcxr1 9999_ late?",status
"was lowcxr1 + 9999_ late?",status
"was lowcxr1 9999_ late",status
"was yesterday's lowcxr1 + 9999_ late",status
"Was CC 9999_ late?",status
"Was CC + 9999_ late?",status
"was Capcxr1 cc 9999_ late?",status
"was cc + 9999_ late?",status
"was the MM +- DD lowcxr1 lowcxr2 9999_ late",status
"was lowcxr1 + lowcxr2 + 9999_ late",status
"was Capcxr1 + Capcxr2 + 9999_ late",status
"when lowcxr1 9999_ arrive?",status
"when lowcxr1 + 9999_ arrive DD MMM ?",status
"when lowcxr1 9999_ arrives?",status
"when lowcxr1 + 9999_ arrives?",status
"when lowcxr1 9999_ arrive",status
"when lowcxr1 + 9999_ arrive",status
"when this afternoon's lowcxr1 9999_ arrives",status
"when lowcxr1 + 9999_ arrives",status
"when CC 9999_ arrive",status
"when CC + 9999_ arrive",status
"when lowcxr1 lowcxr2 9999_ arrives",status
"when lowcxr1 Capcxr2 + 9999_ arrives",status
"lowcxr1 9999_ MM +/ DD arrived?",status
"lowcxr1 9999_ arrives?",status
"lowcxr1 9999_ arrive?",status
"DD MMM lowcxr1 + 9999_ arrived?",status
"lowcxr1 + 9999_ MM +- DD arrives?",status
"lowcxr1 + 9999_ arrive?",status
"lowcxr1 9999_ arrived",status
"lowcxr1 9999_ arrives",status
"lowcxr1 9999_ arrive",status
"CC + 9999_ arrives?",status
"cc + 9999_ arrive?",status
"CC 9999_ arrived",status
"cc 9999_ arrives",status
"cc 9999_ arrive",status
"lowcxr1 9999_ arrival?",status
"lowcxr1 + 9999_ arrival?",status
"lowcxr1 9999_ arrival",status
"lowcxr1 + 9999_ arrival",status
"WEEKDAY +'s CC 9999_ arrival?",status
"MM +- DD CC + 9999_ arrival?",status
"cc 9999_ arrival",status
"cc + 9999_ arrival",status
"lowcxr1 lowcxr2 9999_ arrival?",status
"lowcxr1 + lowcxr2 + 9999_ arrival?",status
"lowcxr1 lowcxr2 9999_ DD MMM arrival",status
"Capcxr1 + Capcxr2 + 9999_ arrival",status
"Capcxr1 cc + 9999_ arrival",status
"Is flight CC + 9999_ at the gate?",status
"Is flight CC 9999_ at the gate?",status
"is flight cc + 9999_ at the gate?",status
"is MM +/ DD flight cc 9999_ at the gate?",status
"is flight CC + 9999_ at the gate",status
