query,intent
What luggage is allowed on my flight?,general
What is American Eagle's domestic bag policy,general
"I lost my record locator, how do I find my flight number",general
Spirit customer support,general
please find the baggage policy,general
What's the customer service number?,general
what are the taxes and fees for my trip,general
What bags can I take on board,general
does my flight have wheelchair access,general
where do I get my gate-checked bag after deboarding,general
flight time FAR-EAR,general
refund policy,general
What bags can I take on board,general
Can you explain EV's baggage policy?,general
what type of aircraft am I flying?,general
Will Spirit provide snacks and a drink,general
What's the checked bag fee?,general
Can you get American's bag policy?,general
Where do I pick up my bags at Dillingham ?,general
what luggage can I keep with me,general
What is JetBlue's domestic bag policy,general
can I board with my food?,general
when does the airport open?,general
cancellation policy,general
What is a personal item?,general
am I close to my gate?,general
hotels near BFF,general
What is the domestic bag policy,general
where do I put my stroller when boarding,general
what terminal does Southwest use,general
permitted luggage size,general
Can I take a personal item on board?,general
car rentals at Gillette,general
what's the biggest suitcase I can carry on,general
Does AS offer drinks on board?,general
retrieve baggage rules,general
does American use etickets?,general
Where is my bag caresoul?,general
Can you get the bag policy?,general
car rentals at Del Rio,general
How many personal items can I bring with me,general
will I be able to eat on board,general
Are ExpressJet flights back to normal?,general
how many empty seats are left on my flight,general
baggage measurements,general
Can I take a personal item on board?,general
How much to carry on my bag?,general
cheapest hotels by SRQ,general
where is United's terminal,general
What bags does EV allow?,general
Where do I pick up my bags at Barrow ?,general
how far is the gate,general
how big can carry-ons be,general
how many bags can I check,general
how many empty seats are left on my flight,general
how do I change my seat,general
Did my gate change?,general
flight time MRY-LAN,general
How do I find a lost bag?,general
how many seats on this plane,general
Could you call customer service?,general
What beverages does F9 have,general
does my seat recline?,general
What luggage is allowed on my flight?,general
does Allegiant use etickets?,general
What are the required carryon dimensions?,general
"my flight was horrible, what can I do?",general
What movies does HA show,general
What's my flight's gate?,general
flight cancellation policy,general
How long is my flight,general
will VX pay for my hotel,general
Does HA have a lounge at this airport?,general
What are the required carryon dimensions?,general
find bag requirements,general
Are carryons free on AirTran ?,general
Could you help with luggage requirements,general
bag weight,general
Can you explain AA's baggage policy?,general
Whats the carryon price?,general
how many bags are allowed on board?,general
how many checked bags can i have,general
how long is the trip to Albuquerque ?,general
What is considered a personal item,general
does my seat recline?,general
What is the domestic bag policy,general
Where are the bag carousels at Waco,general
domestic baggage size,general
What's the checked bag fee?,general
please find the baggage policy,general
Where do I find my lost bag,general
please find Hawaiian's bag policy,general
Are carryons free on Horizon ?,general
What beverages does OH have,general
Does Allegiant have in-flight entertainment?,general
how many exit row seats on my flight?,general
Can I upgrade my seat?,general
Did my gate change?,general
get baggage policy,general
How do I reach my terminal in 15 minutes,general
how many suitcases can I take with me?,general
what planes is MQ using for my flight,general
change fee amount for my flight,general
Does my flight have wifi?,general
explain the bag policy,general
Does UA have a lounge at this airport?,general
how many delays have my flight had this year?,general
where do I file a grievance with UA ?,general
What's the weight limit for carry ons?,general
How long is my flight,general
how many suitcases can I take with me?,general
where can i rent a vehicle at Texarkana,general
where is my new gate,general
are YV flights back in service?,general
domestic baggage size,general
who can I speak to about my flight?,general
Could you call customer service?,general
can I change my flight to tomorrow,general
where do I get my gate-checked bag after deboarding,general
Can you explain the luggage policy?,general
What do I do if my flight is cancelled?,general
where is my new gate,general
taxi pickup at ELP,general
Can you get AS's bag policy?,general
How do I find a lost bag?,general
permitted luggage size,general
please find Alaska's bag policy,general
what terminal does Virgin use,general
where do I pick up my stroller when getting off?,general
where are OO's gates?,general
how do I change my seat,general
Where is my bag caresoul?,general
Can you get Allegiant's bag policy?,general
how many bags can I check,general
Can I upgrade my seat?,general
How much is parking at Jackson ?,general
who can I contact about the flight attendants on my trip?,general
allowed luggage on Virgin ?,general
where are YV's gates?,general
what is the leg room like on 9E ?,general
What's my flight's gate?,general
can i fly with checked luggage?,general
please find B6's bag policy,general
what are the taxes and fees for my trip,general
retrieve baggage rules,general
what planes is WN using for my flight,general
has my gate changed?,general
can I bring 3 suitcases,general
Does SkyWest have in-flight entertainment?,general
Assist with baggage policy,general
Whats the carryon price?,general
Where is Alaskas ticket counter,general
Where are the bag carousels at Aspen,general
what luggage can I keep with me,general
closest hotels to Iron Mountain,general
how heavy can my carry on be?,general
refund policy,general
Where do I find my lost bag,general
What floor is the bag carousel at?,general
"I forgot my PNR number, can i still check in?",general
cheapest hotels by BTV,general
is there a shuttle to my terminal?,general
What do I do if my flight is cancelled?,general
will US ask for my record locator?,general
Can you get the bag policy?,general
get baggage policy,general
what is the largest suitcase I can check?,general
Can you find my PNR with my name and flight number?,general
has my gate changed?,general
will AS pay for my hotel,general
can I board with my food?,general
Are drinks complimentary,general
how do I change to an earlier departure,general
bag weight,general
does San Jose have a shuttle,general
OH client services,general
what's the biggest suitcase I can carry on,general
contact customer service,general
Connect me with customer service please,general
How do I reach my terminal in 15 minutes,general
How many personal items can I bring with me,general
can I change my flight to tomorrow,general
What is considered a personal item,general
Are carryons free on YX ?,general
Where is the AA ticket counter?,general
baggage measurements,general
allowed bag weights in pounds,general
closest hotels to Montgomery,general
domestic bag weights,general
When will my found bag arrive,general
Where is the ticket counter for my flight?,general
when does the airport open?,general
Will Delta provide snacks and a drink,general
please find US's bag policy,general
is there a shuttle to my terminal?,general
What bags can I bring on the plane?,general
What's the weight limit for carry ons?,general
file a complaint,general
what is the largest suitcase I can check?,general
what is the refund policy,general
flight cancellation policy,general
how do I change to an earlier departure,general
find bag requirements,general
domestic bag weights,general
Where is Virgins ticket counter,general
where can i rent a vehicle at Cedar Rapids,general
bag dimensions,general
How do I contact customer service?,general
what is the refund policy,general
Connect me with customer service please,general
Where is the ticket counter for my flight?,general
how many checked bags can i have,general
am I close to my gate?,general
DL customer assistance,general
where do I pick up my stroller when getting off?,general
how many exit row seats on my flight?,general
Does my flight have wifi?,general
Are drinks complimentary,general
how far is the US gate,general
what type of aircraft am I flying?,general
How much to carry on my bag?,general
How much is parking at Grand Forks ?,general
how many bags are allowed on board?,general
cancellation policy,general
Can you explain the luggage policy?,general
will I need to pass through security for my connecting flight?,general
can i fly with checked luggage?,general
