query,intent
has f9 flight 8170 gotten in,status
is o87dmy's flight early?,status
when does American Eagle320 arrive?,status
find the status of delta 5115,status
has horizon flight381 arrived,status
is mq flight 7738 postponed?,status
when does Horizon Air 2561 arrive,status
Was YX3374 late?,status
what is record mj75vy flight's status,status
did endeavor 98 arrive?,status
is flight PSA airlines OH8172 on time,status
give me the status of united7380,status
Is flight EV1963 at the gate?,status
status of VX 1145?,status
Did B6 8794 come in?,status
did alaska 2691 come in,status
frontier f96167 time?,status
give status for horizon 3758,status
find me the status of vx 3179,status
is DeltaAir Lines 9926 late,status
PSA 1331 status?,status
where is pnr hx5xb7 allegiant air flight?,status
expressjet 284 arrived,status
has fl1347 arrived,status
has dl flight503 arrived,status
is aa 2753 in,status
is flight b6 7104 on time?,status
is endeavor 2701 in?,status
where is xw9x3t allegiant air flight?,status
did QX1838 get in,status
is fl 5791 late,status
AS6231 gate time?,status
give the status of republicairline8254,status
is skywest4321 delayed?,status
is ev3037 suspended?,status
how late is pnr wsby39 flight,status
is frontierairlines3499 late,status
b6 5141 arrive,status
is frontier6213 here,status
Did AirTran 8857 come in?,status
oh 37 arrival,status
endeavor air7100 on time,status
frontier f9 3906 gate time?,status
when HA 5059 arrive,status
when airtran 5203 arrive?,status
where is allegiant 6217?,status
Was WN 3660 late?,status
spirit air lines8002 gate time?,status
us airways903 on time?,status
is flight us2849 at the gate?,status
find status for as5114,status
when does united Air Lines 8197 arrive,status
Is flight 9E7573 on time?,status
is flight american eagle5801 at the gate,status
was virginamerica8945 late,status
is jetblue airways 3369 late,status
where is b6 6629?,status
is expressjet flight4390 in,status
has united flight 7981 gotten in?,status
is virgin flight2366 here,status
did allegiant air 9821 come in,status
AS8633 time?,status
PNR q44mdj departure time,status
Mesa Airlines 1121 on time?,status
is airtran airways 5043 ahead of schedule,status
Did f9 4097 arrive,status
Allegiant Air 2562 time?,status
american airlines7321 flight time,status
when does skywest4174 arrive,status
AA 8603 arrived,status
delta 9640 arrival?,status
AA 5997 gate time?,status
whats status of republic airline 6568?,status
Is yv 1566 late?,status
virgin 5052 arrives,status
is oh flight 238 cancelled?,status
is flight 9E8884 at the gate,status
oo8080 arrival,status
give me the status of f9 7370,status
when frontier 5641 arrives,status
when MQ4294 arrive,status
is g4 flight 8955 in,status
was USAirways6139 late,status
Did american 3527 arrive,status
Find status for Allegiant air 3779,status
What's status of B6 9787?,status
is o33vgn flight on time?,status
republic908 arrived?,status
southwestairlines9888 arrival?,status
frontier6579 arrival?,status
UA 4421 arrival time?,status
NK8789 arrival?,status
has mesa flight8858 gotten in,status
status of alaska3747,status
When does Allegiant 9770 arrive?,status
is us2893 late,status
american eagle airlines 2612 time?,status
WN6071 on time?,status
is hawaiian 1563 delayed?,status
is flight ha 9243 on time,status
has record loc tt19qb left yet,status
Did Spirit 1304 get in?,status
Whats status of F91703?,status
is flight as1769 on time?,status
UA 6611 on time?,status
Is expressjet3673 early?,status
was skywest 2640 late,status
when psa Airlines3422 arrives,status
whats the status of southwest57,status
give status for NK 8826,status
skywest 9566 arrived?,status
9e2011 arrive?,status
is flight b6 3601 at the gate,status
Did HA769 arrive,status
Check sshr51 flight.,status
has alaska4269 arrived,status
when does VX7375 arrive,status
is flight American Eagle 4904 on time,status
FL6243 arrives?,status
when alaska3953 arrives?,status
when does rec loc bd3dj2 arrive?,status
was expressjet airlines 8548 late,status
Did Delta air lines 2783 arrive,status
delta air lines dl 7541 gate time?,status
Mesa yv7186 arrival,status
is republic3428 cancelled?,status
Is qx6502 late?,status
is nk flight1294 suspended?,status
what's the status of ha2841?,status
did dl 6289 come in?,status
Did jetblue airways 4005 arrive,status
give me the status of g4930,status
Find me the status of EV985,status
when does pnr q1hjt5 come in,status
is spirit 8687 suspended?,status
where is mq flight 2047?,status
is delta5717 in,status
is pnr iqlw45 delayed,status
is dl flight 2920 at the gate?,status
jetblue airways b6 4867 time?,status
give the status of southwest airlines 8819,status
Whats the status of DL1649?,status
Is YX 9600 late?,status
is yv 2017 postponed?,status
has 9e 740 gotten in,status
skywest airlines4752 time,status
when does yv7971 arrive,status
has us 632 arrived?,status
when does republicAirline654 arrive,status
is southwest7432 suspended?,status
whats status of oh3739,status
where is jetblue flight7456?,status
Was American Eagle4768 late?,status
did Virgin america 5948 get in,status
Is WN4639 late?,status
find the status of frontier airlines6552,status
where is endeavor flight 4648?,status
ExpressJet Airlines220 arrival time?,status
was yv8324 late?,status
what is status of oo 9341,status
did yx 1341 get in,status
is southwest flight 297 in?,status
is american9365 late,status
when spirit air lines 7392 arrives,status
Give status for oh1776,status
horizon qx4825 flight time?,status
has airtran 758 gotten in?,status
Allegiant Air 9814 gate time?,status
is republic flight 1844 here?,status
when does ev 5801 arrive,status
us 6070 arrive,status
is rec locator urq91z in,status
is vx 4070 cancelled?,status
is american 291 here?,status
when does psa 5164 arrive,status
Give me the status of DL164,status
is flight DL1317 on time,status
where is delta air lines flight1570?,status
PSA airlines 1979 time,status
is as70 here,status
was Spirit 1154 late?,status
virgin america 3323 on time?,status
virgin america 4274 arrival time?,status
Was Hawaiian 145 late?,status
was horizon air 4953 cancelled?,status
republic airline 3684 arrival,status
Hawaiian Airlines7096 time?,status
what is status of horizonair8612?,status
MesaAirlines4443 flight time?,status
has jetblue680 gotten in,status
Is virgin890 on schedule?,status
is F9 flight2411 at the gate,status
pnr lvno13 flight arrival,status
did alaska 3587 arrive,status
will k25olu arrive soon?,status
status of EV1325,status
where is record locator h1sox3's flight,status
Is allegiant flight g4 6117 at the gate,status
horizonair3803 on time?,status
when does southwest airlines884 arrive,status
when delta6159 arrive,status
allegiant 8186 arrival,status
AirTran airways 5661 on time,status
ua 2174 flight time?,status
what's the status of mq 619,status
where is alaska airlines flight 1364?,status
What is the status of G4 3248?,status
Is oo3601 early?,status
give the status of ha 4929,status
is psa 9471 cancelled?,status
is SkyWestairlines flight 4714 at the gate,status
is wn 1677 late,status
Did american 2906 come in,status
has skywest flight 186 arrived?,status
